0,1
Aaron Ramsey,https://www.premierleague.com/players/48285/Aaron-Ramsey/stats?co=1&se=-1
Max Aarons,https://www.premierleague.com/players/19970/Max-Aarons/stats?co=1&se=-1
Abdul Rahman Baba,https://www.premierleague.com/players/13279/Abdul-Rahman-Baba/stats?co=1&se=-1
Tammy Abraham,https://www.premierleague.com/players/13286/Tammy-Abraham/stats?co=1&se=-1
Adam Armstrong,https://www.premierleague.com/players/9199/Adam-Armstrong/stats?co=1&se=-1
Che Adams,https://www.premierleague.com/players/10905/Che-Adams/stats?co=1&se=-1
Tayo Adaramola,https://www.premierleague.com/players/72541/Tayo-Adaramola/stats?co=1&se=-1
Adrián,https://www.premierleague.com/players/4852/Adri%C3%A1n/stats?co=1&se=-1
Sergio Agüero,https://www.premierleague.com/players/4328/Sergio-Ag%C3%BCero/stats?co=1&se=-1
Derek Agyakwa,https://www.premierleague.com/players/90665/Derek-Agyakwa/stats?co=1&se=-1
Ahmed El Mohamady,https://www.premierleague.com/players/4183/Ahmed-El-Mohamady/stats?co=1&se=-1
Rayan Aït-Nouri,https://www.premierleague.com/players/71432/Rayan-A%C3%AFt-Nouri/stats?co=1&se=-1
Kristoffer Ajer,https://www.premierleague.com/players/20113/Kristoffer-Ajer/stats?co=1&se=-1
Nathan Aké,https://www.premierleague.com/players/4499/Nathan-Ak%C3%A9/stats?co=1&se=-1
Marc Albrighton,https://www.premierleague.com/players/3564/Marc-Albrighton/stats?co=1&se=-1
Toby Alderweireld,https://www.premierleague.com/players/4916/Toby-Alderweireld/stats?co=1&se=-1
Ryan Alebiosu,https://www.premierleague.com/players/51480/Ryan-Alebiosu/stats?co=1&se=-1
Ajibola Alese,https://www.premierleague.com/players/20053/Ajibola-Alese/stats?co=1&se=-1
Alex Telles,https://www.premierleague.com/players/5467/Alex-Telles/stats?co=1&se=-1
Trent Alexander-Arnold,https://www.premierleague.com/players/14732/Trent-Alexander-Arnold/stats?co=1&se=-1
Ezgjan Alioski,https://www.premierleague.com/players/22698/Ezgjan-Alioski/stats?co=1&se=-1
Alisson,https://www.premierleague.com/players/20559/Alisson/stats?co=1&se=-1
Allan,https://www.premierleague.com/players/15994/Allan/stats?co=1&se=-1
Dele Alli,https://www.premierleague.com/players/9167/Dele-Alli/stats?co=1&se=-1
Miguel Almirón,https://www.premierleague.com/players/54312/Miguel-Almir%C3%B3n/stats?co=1&se=-1
Marcos Alonso,https://www.premierleague.com/players/4093/Marcos-Alonso/stats?co=1&se=-1
Jaime Alvarado,https://www.premierleague.com/players/51774/Jaime-Alvarado/stats?co=1&se=-1
Julián Álvarez,https://www.premierleague.com/players/52723/Juli%C3%A1n-%C3%81lvarez/stats?co=1&se=-1
Will Alves,https://www.premierleague.com/players/112742/Will-Alves/stats?co=1&se=-1
Steven Alzate,https://www.premierleague.com/players/20723/Steven-Alzate/stats?co=1&se=-1
Leon Bailey,https://www.premierleague.com/players/20489/Leon-Bailey/stats?co=1&se=-1
Eric Bailly,https://www.premierleague.com/players/12937/Eric-Bailly/stats?co=1&se=-1
